,dAge,dMass,dSatXUVFrac,dSatXUVTime,dXUVBeta,dLRatioAge,dLXUVAge,dLbolAge,dRadiusAge,dTempAge
simulation_83,6.794760033411739,0.10819442908020514,-3.173980861869881,1.841015045863538,-1.022877611891555,5674.513364798629,1.970213e-07,0.001118,0.132407,2896.413749
simulation_84,5.1537658849707455,0.09256164223984507,-2.633590679303444,8.552279269868134,-1.6436746896840382,430.2807380121434,1.487401e-06,0.00064,0.11603,2698.795559
simulation_85,5.538185463654012,0.07583212964130266,-2.8192706261638683,2.026662610702694,-1.1058507332414895,2003.4793758493918,7.187496e-08,0.000144,0.0918,2084.235916
simulation_86,6.906385036850087,0.107900445574437,-2.7293604434595737,10.66041340952542,-1.496692630010215,536.1665400112463,2.064657e-06,0.001107,0.132035,2893.461599
simulation_87,6.9478689606970345,0.0745464117077285,-2.766482300270254,0.7208510936818915,-1.3920350929214511,13684.489709437692,8.622901e-09,0.000118,0.090574,1994.665099
simulation_88,4.260372929623607,0.07810393116379588,-2.735210234198105,1.1239145230677208,-1.1762393882201578,2601.7481926630962,7.687139e-08,0.0002,0.095217,2225.220889
simulation_89,4.357254420882541,0.07900796209738528,-3.1717337974680198,10.355202159702594,-1.631496727673189,1485.3463127088567,1.541728e-07,0.000229,0.096904,2281.789628
simulation_90,5.625177062332628,0.09458341533653032,-2.5999805272153957,6.201746188499843,-0.9270361076584129,398.0438018286201,1.763625e-06,0.000702,0.118243,2734.592753
simulation_91,8.094354833335107,0.0978229526926916,-2.5200635144001544,10.226685579172539,-0.6701197139724929,331.0748510577014,2.416372e-06,0.0008,0.121661,2782.38338
simulation_92,5.7528574890933575,0.07126734120326737,-3.1108839220593536,6.958152686531576,-1.2488554424436356,1290.873924593482,4.954638e-08,6.395813e-05,0.090669,1717.176335
simulation_93,9.515855914794157,0.09167124442680462,-3.0730304220700626,11.30984772697433,-1.955337672058926,1183.3364605846648,5.180268e-07,0.000613,0.115012,2683.098845
simulation_94,9.509753853247386,0.10097439403501762,-2.981724117919947,3.9109783526846367,-0.9129324613495576,2153.421493104157,4.188683e-07,0.000902,0.125029,2824.681712
simulation_95,11.429985090603132,0.07020952719265316,-2.8135632659351306,3.4676322966438096,-1.737432015111668,5163.944194214795,1.020396e-08,5.269268e-05,0.090105,1642.451019
simulation_96,6.4874012158817616,0.10732875336124624,-3.4314061022500466,1.789349538813349,-1.331541657004328,14987.856805354853,7.25921e-08,0.001088,0.131345,2887.907376
simulation_97,7.184362694250054,0.10349984100379163,-3.2646897922567737,9.599274964975796,-0.6670012828084334,1839.3350293991457,5.295392e-07,0.000974,0.127452,2852.706199
